Date,Event ID,Time,Class
2023-10-19,31240381,09:00,Spanish: Year 7: 7a/SpI
2023-10-19,31339032,09:55,Music: Year 7: 7a/MuR
2023-10-19,31340432,11:10,History: Year 7: 7a/HiR
2023-10-19,31342308,12:05,Art and Design: Year 7: 7a/ArR
2023-10-19,29953176,13:30,Year 7: 7TL
2023-10-19,31248270,14:00,English Comb: Year 7: 7a/EnI
2023-10-30,29896030,08:40,Year 7: 7TL
2023-10-30,31246108,09:00,English Comb: Year 7: 7a/EnI
2023-10-30,31248730,09:55,Science: Year 7: 7a/ScI
2023-10-30,31336400,11:10,Art and Design: Year 7: 7a/ArR
2023-10-30,31338164,12:05,Computer Science: Year 7: 7a/CsR
2023-10-30,29904827,13:30,Year 7: 7TL
2023-10-30,31242566,14:00,Maths: Year 7: 7a/MaI
2023-10-31,29925052,08:40,Year 7: 7TL
2023-10-31,29860005,09:00,Year 7: 7TL
2023-10-31,31244774,09:55,Maths: Year 7: 7a/MaI
2023-10-31,31246407,11:10,Spanish: Year 7: 7a/SpI
2023-10-31,31343932,12:05,Music: Year 7: 7a/MuR
2023-10-31,29922152,13:30,Year 7: 7TL
2023-10-31,31237989,14:00,English Comb: Year 7: 7a/EnI
2023-11-01,29938639,08:40,Year 7: 7TL
2023-11-01,31239944,09:00,Maths: Year 7: 7a/MaI
2023-11-01,31243026,09:55,Science: Year 7: 7a/ScI
2023-11-01,31339592,11:10,History: Year 7: 7a/HiR
2023-11-01,31341776,12:05,Geography: Year 7: 7a/GeR
2023-11-01,29951535,13:30,Year 7: 7TL
2023-11-01,31246959,14:00,Science: Year 7: 7a/ScI
2023-11-02,29951240,08:40,Year 7: 7TL
2023-11-02,31334832,09:00,Religious Ed: Year 7: 7a/RER
2023-11-02,31239024,09:55,Maths: Year 7: 7a/MaI
2023-11-02,31240680,11:10,English Comb: Year 7: 7a/EnI
2023-11-02,31243348,12:05,Science: Year 7: 7a/ScI
2023-11-02,29964178,13:30,Year 7: 7TL
2023-11-02,31319598,14:00,PE Core: Year 7: 7a/PEY
2023-11-03,29959162,08:40,Year 7: 7TL
2023-11-03,31342868,09:00,Geography: Year 7: 7a/GeR
2023-11-03,31247166,09:55,English Comb: Year 7: 7a/EnI
2023-11-03,31335896,11:10,Religious Ed: Year 7: 7a/RER
2023-11-03,31239530,12:05,Science: Year 7: 7a/ScI
2023-11-03,29961841,13:30,Year 7: 7TL
2023-11-03,31319238,14:00,PE Core: Year 7: 7a/PEY
2023-11-06,29906831,08:40,Year 7: 7TL
2023-11-06,31334300,09:00,Drama: Year 7: 7a/DrR
2023-11-06,31336820,09:55,Computer Science: Year 7: 7a/CsR
2023-11-06,31240634,11:10,Spanish: Year 7: 7a/SpI
2023-11-06,31244337,12:05,Maths: Year 7: 7a/MaI
2023-11-06,29914772,13:30,Year 7: 7TL
