Date,Event ID,Time,Class
2023-09-22,31334945,09:00,Religious Ed: Year 7: 7a/RER
2023-09-22,31337381,09:55,History: Year 7: 7a/HiR
2023-09-22,31217865,11:10,Maths: Year 7: 7a/MaG
2023-09-22,31221039,12:05,Design Tech: Year 7: 7a/DTG
2023-09-22,29924025,13:30,Year 7: 7VP
2023-09-22,31340041,14:00,Geography: Year 7: 7a/GeR
2023-09-25,29871776,08:40,Year 7: 7VP
2023-09-25,31222695,09:00,English Comb: Year 7: 7a/EnG
2023-09-25,31225869,09:55,Spanish: Year 7: 7a/SpG
2023-09-25,31336345,11:10,Art and Design: Year 7: 7a/ArR
2023-09-25,31338053,12:05,Computer Science: Year 7: 7a/CsR
2023-09-25,29875039,13:30,Year 7: 7VP
2023-09-25,31219521,14:00,Maths: Year 7: 7a/MaG
2023-09-26,29891560,08:40,Year 7: 7VP
2023-09-26,29866367,09:00,Year 7: 7VP
2023-09-26,31221913,09:55,Maths: Year 7: 7a/MaG
2023-09-26,31224052,11:10,Science: Year 7: 7a/ScG
2023-09-26,31343877,12:05,Music: Year 7: 7a/MuR
2023-09-26,29886915,13:30,Year 7: 7VP
2023-09-26,31214990,14:00,English Comb: Year 7: 7a/EnG
2023-09-27,29888108,08:40,Year 7: 7VP
2023-09-27,31217083,09:00,Maths: Year 7: 7a/MaG
2023-09-27,31220211,09:55,Spanish: Year 7: 7a/SpG
2023-09-27,31339537,11:10,History: Year 7: 7a/HiR
2023-09-27,31341721,12:05,Geography: Year 7: 7a/GeR
2023-09-27,29897803,13:30,Year 7: 7VP
2023-09-27,31223661,14:00,Science: Year 7: 7a/ScG
2023-09-28,29903291,08:40,Year 7: 7VP
2023-09-28,31334777,09:00,Religious Ed: Year 7: 7a/RER
2023-09-28,31215979,09:55,Maths: Year 7: 7a/MaG
2023-09-28,31218716,11:10,English Comb: Year 7: 7a/EnG
2023-09-28,31220188,12:05,Science: Year 7: 7a/ScG
2023-09-28,29916065,13:30,Year 7: 7VP
2023-09-28,31320698,14:00,PE Core: Year 7: 7a/PEB
2023-09-29,29933489,08:40,Year 7: 7VP
2023-09-29,31342813,09:00,Geography: Year 7: 7a/GeR
2023-09-29,31224121,09:55,English Comb: Year 7: 7a/EnG
2023-09-29,31335813,11:10,Religious Ed: Year 7: 7a/RER
2023-09-29,31216669,12:05,Science: Year 7: 7a/ScG
2023-09-29,29934347,13:30,Year 7: 7VP
2023-09-29,31320338,14:00,PE Core: Year 7: 7a/PEB
2023-10-02,29875135,08:40,Year 7: 7VP
2023-10-02,31334245,09:00,Drama: Year 7: 7a/DrR
2023-10-02,31336709,09:55,Computer Science: Year 7: 7a/CsR
2023-10-02,31218210,11:10,Spanish: Year 7: 7a/SpG
2023-10-02,31221476,12:05,Maths: Year 7: 7a/MaG
2023-10-02,29879392,13:30,Year 7: 7VP
2023-10-02,31222741,14:00,Design Tech: Year 7: 7a/DTG
2023-10-03,29903774,08:40,Year 7: 7VP
2023-10-03,31223845,09:00,Spanish: Year 7: 7a/SpG
2023-10-03,31321098,09:55,PE Core: Year 7: 7a/PEB
2023-10-03,31214898,11:10,English Comb: Year 7: 7a/EnG
2023-10-03,31337941,12:05,Religious Ed: Year 7: 7a/RER
2023-10-03,29895356,13:30,Year 7: 7VP
2023-10-03,31219245,14:00,Maths: Year 7: 7a/MaG
2023-10-04,29896378,08:40,Year 7: 7VP
2023-10-04,31340237,09:00,Geography: Year 7: 7a/GeR
2023-10-04,31222189,09:55,English Comb: Year 7: 7a/EnG
2023-10-04,31343345,11:10,Religious Ed: Year 7: 7a/RER
2023-10-04,31344437,12:05,History: Year 7: 7a/HiR
2023-10-04,29906202,13:30,Year 7: 7VP
2023-10-04,31215795,14:00,Science: Year 7: 7a/ScG
2023-10-05,29912396,08:40,Year 7: 7VP
2023-10-05,31217267,09:00,Science: Year 7: 7a/ScG
2023-10-05,31339005,09:55,Music: Year 7: 7a/MuR
2023-10-05,31340349,11:10,History: Year 7: 7a/HiR
2023-10-05,31342281,12:05,Art and Design: Year 7: 7a/ArR
2023-10-05,29927481,13:30,Year 7: 7VP
2023-10-05,31224995,14:00,English Comb: Year 7: 7a/EnG
2023-10-06,29946077,08:40,Year 7: 7VP
2023-10-06,31335001,09:00,Religious Ed: Year 7: 7a/RER
2023-10-06,31337409,09:55,History: Year 7: 7a/HiR
2023-10-06,31217911,11:10,Maths: Year 7: 7a/MaG
2023-10-06,31221062,12:05,Design Tech: Year 7: 7a/DTG
2023-10-06,29945386,13:30,Year 7: 7VP
2023-10-06,31340125,14:00,Geography: Year 7: 7a/GeR
2023-10-09,29879295,08:40,Year 7: 7VP
2023-10-09,31222764,09:00,English Comb: Year 7: 7a/EnG
2023-10-09,31225892,09:55,Spanish: Year 7: 7a/SpG
2023-10-09,31336373,11:10,Art and Design: Year 7: 7a/ArR
2023-10-09,31338109,12:05,Computer Science: Year 7: 7a/CsR
2023-10-09,29884458,13:30,Year 7: 7VP
2023-10-09,31219567,14:00,Maths: Year 7: 7a/MaG
2023-10-10,29912178,08:40,Year 7: 7VP
2023-10-10,29866395,09:00,Year 7: 7VP
2023-10-10,31221936,09:55,Maths: Year 7: 7a/MaG
2023-10-10,31224144,11:10,Science: Year 7: 7a/ScG
2023-10-10,31343905,12:05,Music: Year 7: 7a/MuR
2023-10-10,29905483,13:30,Year 7: 7VP
2023-10-10,31215036,14:00,English Comb: Year 7: 7a/EnG
2023-10-11,29904332,08:40,Year 7: 7VP
2023-10-11,31217106,09:00,Maths: Year 7: 7a/MaG
2023-10-11,31220257,09:55,Spanish: Year 7: 7a/SpG
2023-10-11,31339565,11:10,History: Year 7: 7a/HiR
2023-10-11,31341749,12:05,Geography: Year 7: 7a/GeR
2023-10-11,29916707,13:30,Year 7: 7VP
2023-10-11,31223684,14:00,Science: Year 7: 7a/ScG
2023-10-12,29923309,08:40,Year 7: 7VP
2023-10-12,31334805,09:00,Religious Ed: Year 7: 7a/RER
2023-10-12,31216025,09:55,Maths: Year 7: 7a/MaG
2023-10-12,31218762,11:10,English Comb: Year 7: 7a/EnG
2023-10-12,31220234,12:05,Science: Year 7: 7a/ScG
2023-10-12,29940701,13:30,Year 7: 7VP
2023-10-12,31320718,14:00,PE Core: Year 7: 7a/PEB
2023-10-13,29958226,08:40,Year 7: 7VP
2023-10-13,31342841,09:00,Geography: Year 7: 7a/GeR
2023-10-13,31224190,09:55,English Comb: Year 7: 7a/EnG
2023-10-13,31335841,11:10,Religious Ed: Year 7: 7a/RER
2023-10-13,31216692,12:05,Science: Year 7: 7a/ScG
2023-10-13,29956965,13:30,Year 7: 7VP
2023-10-13,31320358,14:00,PE Core: Year 7: 7a/PEB
2023-10-16,29884994,08:40,Year 7: 7VP
2023-10-16,31334273,09:00,Drama: Year 7: 7a/DrR
2023-10-16,31336765,09:55,Computer Science: Year 7: 7a/CsR
2023-10-16,31218279,11:10,Spanish: Year 7: 7a/SpG
2023-10-16,31221499,12:05,Maths: Year 7: 7a/MaG
2023-10-16,29892050,13:30,Year 7: 7VP
2023-10-16,31222810,14:00,Design Tech: Year 7: 7a/DTG
2023-10-17,29926914,08:40,Year 7: 7VP
2023-10-17,31223891,09:00,Spanish: Year 7: 7a/SpG
2023-10-17,31321118,09:55,PE Core: Year 7: 7a/PEB
2023-10-17,31214921,11:10,English Comb: Year 7: 7a/EnG
2023-10-17,31337969,12:05,Religious Ed: Year 7: 7a/RER
2023-10-17,29914730,13:30,Year 7: 7VP
2023-10-17,31219291,14:00,Maths: Year 7: 7a/MaG
2023-10-18,29914412,08:40,Year 7: 7VP
2023-10-18,31340321,09:00,Geography: Year 7: 7a/GeR
2023-10-18,31222235,09:55,English Comb: Year 7: 7a/EnG
2023-10-18,31343373,11:10,Religious Ed: Year 7: 7a/RER
2023-10-18,31344465,12:05,History: Year 7: 7a/HiR
2023-10-18,29928602,13:30,Year 7: 7VP
2023-10-18,31215818,14:00,Science: Year 7: 7a/ScG
2023-10-19,29935933,08:40,Year 7: 7VP
2023-10-19,31217313,09:00,Science: Year 7: 7a/ScG
2023-10-19,31339033,09:55,Music: Year 7: 7a/MuR
2023-10-19,31340433,11:10,History: Year 7: 7a/HiR
2023-10-19,31342309,12:05,Art and Design: Year 7: 7a/ArR
2023-10-19,29950268,13:30,Year 7: 7VP
2023-10-19,31225064,14:00,English Comb: Year 7: 7a/EnG
2023-10-30,29892565,08:40,Year 7: 7VP
2023-10-30,31222833,09:00,English Comb: Year 7: 7a/EnG
2023-10-30,31225915,09:55,Spanish: Year 7: 7a/SpG
2023-10-30,31336401,11:10,Art and Design: Year 7: 7a/ArR
2023-10-30,31338165,12:05,Computer Science: Year 7: 7a/CsR
2023-10-30,29900990,13:30,Year 7: 7VP
2023-10-30,31219613,14:00,Maths: Year 7: 7a/MaG
2023-10-31,29938728,08:40,Year 7: 7VP
2023-10-31,29866423,09:00,Year 7: 7VP
2023-10-31,31221959,09:55,Maths: Year 7: 7a/MaG
2023-10-31,31224236,11:10,Science: Year 7: 7a/ScG
2023-10-31,31343933,12:05,Music: Year 7: 7a/MuR
2023-10-31,29927917,13:30,Year 7: 7VP
2023-10-31,31215082,14:00,English Comb: Year 7: 7a/EnG
2023-11-01,29925042,08:40,Year 7: 7VP
2023-11-01,31217129,09:00,Maths: Year 7: 7a/MaG
2023-11-01,31220303,09:55,Spanish: Year 7: 7a/SpG
2023-11-01,31339593,11:10,History: Year 7: 7a/HiR
2023-11-01,31341777,12:05,Geography: Year 7: 7a/GeR
2023-11-01,29939336,13:30,Year 7: 7VP
2023-11-01,31223707,14:00,Science: Year 7: 7a/ScG
2023-11-02,29945451,08:40,Year 7: 7VP
2023-11-02,31334833,09:00,Religious Ed: Year 7: 7a/RER
2023-11-02,31216071,09:55,Maths: Year 7: 7a/MaG
2023-11-02,31218808,11:10,English Comb: Year 7: 7a/EnG
2023-11-02,31220280,12:05,Science: Year 7: 7a/ScG
2023-11-02,29961831,13:30,Year 7: 7VP
2023-11-02,31320738,14:00,PE Core: Year 7: 7a/PEB
2023-11-03,29969168,08:40,Year 7: 7VP
2023-11-03,31342869,09:00,Geography: Year 7: 7a/GeR
2023-11-03,31224282,09:55,English Comb: Year 7: 7a/EnG
2023-11-03,31335897,11:10,Religious Ed: Year 7: 7a/RER
2023-11-03,31216715,12:05,Science: Year 7: 7a/ScG
2023-11-03,29968545,13:30,Year 7: 7VP
2023-11-03,31320378,14:00,PE Core: Year 7: 7a/PEB
2023-11-06,29902619,08:40,Year 7: 7VP
2023-11-06,31334301,09:00,Drama: Year 7: 7a/DrR
2023-11-06,31336821,09:55,Computer Science: Year 7: 7a/CsR
2023-11-06,31218325,11:10,Spanish: Year 7: 7a/SpG
2023-11-06,31221522,12:05,Maths: Year 7: 7a/MaG
2023-11-06,29913362,13:30,Year 7: 7VP
2023-11-06,31222879,14:00,Design Tech: Year 7: 7a/DTG
2023-11-07,29952269,08:40,Year 7: 7VP
2023-11-07,31223937,09:00,Spanish: Year 7: 7a/SpG
2023-11-07,31321138,09:55,PE Core: Year 7: 7a/PEB
2023-11-07,31214967,11:10,English Comb: Year 7: 7a/EnG
2023-11-07,31338025,12:05,Religious Ed: Year 7: 7a/RER
2023-11-07,29939860,13:30,Year 7: 7VP
2023-11-07,31219337,14:00,Maths: Year 7: 7a/MaG
2023-11-08,29936208,08:40,Year 7: 7VP
2023-11-08,31340405,09:00,Geography: Year 7: 7a/GeR
2023-11-08,31222281,09:55,English Comb: Year 7: 7a/EnG
2023-11-08,31343401,11:10,Religious Ed: Year 7: 7a/RER
2023-11-08,31344493,12:05,History: Year 7: 7a/HiR
2023-11-08,29951424,13:30,Year 7: 7VP
2023-11-08,31215841,14:00,Science: Year 7: 7a/ScG
2023-11-09,29957972,08:40,Year 7: 7VP
2023-11-09,31217359,09:00,Science: Year 7: 7a/ScG
2023-11-09,31339061,09:55,Music: Year 7: 7a/MuR
2023-11-09,31340517,11:10,History: Year 7: 7a/HiR
2023-11-09,31342337,12:05,Art and Design: Year 7: 7a/ArR
2023-11-09,29973972,13:30,Year 7: 7VP
2023-11-09,31225179,14:00,English Comb: Year 7: 7a/EnG
2023-11-10,29981945,08:40,Year 7: 7VP
2023-11-10,31335057,09:00,Religious Ed: Year 7: 7a/RER
2023-11-10,31337437,09:55,History: Year 7: 7a/HiR
2023-11-10,31217957,11:10,Maths: Year 7: 7a/MaG
2023-11-10,31221085,12:05,Design Tech: Year 7: 7a/DTG
2023-11-10,29981289,13:30,Year 7: 7VP
2023-11-10,31340209,14:00,Geography: Year 7: 7a/GeR
2023-11-13,29913066,08:40,Year 7: 7VP
2023-11-13,31222902,09:00,English Comb: Year 7: 7a/EnG
2023-11-13,31225938,09:55,Spanish: Year 7: 7a/SpG
2023-11-13,31336429,11:10,Art and Design: Year 7: 7a/ArR
2023-11-13,31338221,12:05,Computer Science: Year 7: 7a/CsR
2023-11-13,29925191,13:30,Year 7: 7VP
2023-11-13,31219659,14:00,Maths: Year 7: 7a/MaG
2023-11-14,29966069,08:40,Year 7: 7VP
2023-11-14,29866451,09:00,Year 7: 7VP
2023-11-14,31221982,09:55,Maths: Year 7: 7a/MaG
2023-11-14,31224328,11:10,Science: Year 7: 7a/ScG
2023-11-14,31343961,12:05,Music: Year 7: 7a/MuR
2023-11-14,29953906,13:30,Year 7: 7VP
2023-11-14,31215128,14:00,English Comb: Year 7: 7a/EnG
2023-11-15,29945727,08:40,Year 7: 7VP
2023-11-15,31217152,09:00,Maths: Year 7: 7a/MaG
2023-11-15,31220349,09:55,Spanish: Year 7: 7a/SpG
2023-11-15,31339621,11:10,History: Year 7: 7a/HiR
2023-11-15,31341805,12:05,Geography: Year 7: 7a/GeR
2023-11-15,29962087,13:30,Year 7: 7VP
2023-11-15,31223730,14:00,Science: Year 7: 7a/ScG
2023-11-16,29969084,08:40,Year 7: 7VP
2023-11-16,31334861,09:00,Religious Ed: Year 7: 7a/RER
2023-11-16,31216117,09:55,Maths: Year 7: 7a/MaG
2023-11-16,31218854,11:10,English Comb: Year 7: 7a/EnG
2023-11-16,31220326,12:05,Science: Year 7: 7a/ScG
2023-11-16,29986018,13:30,Year 7: 7VP
2023-11-16,31320758,14:00,PE Core: Year 7: 7a/PEB
2023-11-17,30065585,08:40,Year 7: 7VP
2023-11-17,31342897,09:00,Geography: Year 7: 7a/GeR
2023-11-17,31224374,09:55,English Comb: Year 7: 7a/EnG
2023-11-17,31335925,11:10,Religious Ed: Year 7: 7a/RER
2023-11-17,31216738,12:05,Science: Year 7: 7a/ScG
2023-11-17,29992317,13:30,Year 7: 7VP
2023-11-17,31320398,14:00,PE Core: Year 7: 7a/PEB
2023-11-20,29924944,08:40,Year 7: 7VP
2023-11-20,31334329,09:00,Drama: Year 7: 7a/DrR
2023-11-20,31336877,09:55,Computer Science: Year 7: 7a/CsR
2023-11-20,31218371,11:10,Spanish: Year 7: 7a/SpG
2023-11-20,31221545,12:05,Maths: Year 7: 7a/MaG
2023-11-20,29938074,13:30,Year 7: 7VP
2023-11-20,31222948,14:00,Design Tech: Year 7: 7a/DTG
2023-11-21,29976940,08:40,Year 7: 7VP
2023-11-21,31224006,09:00,Spanish: Year 7: 7a/SpG
2023-11-21,31321158,09:55,PE Core: Year 7: 7a/PEB
2023-11-21,31215013,11:10,English Comb: Year 7: 7a/EnG
2023-11-21,31338081,12:05,Religious Ed: Year 7: 7a/RER
2023-11-21,29965777,13:30,Year 7: 7VP
2023-11-21,31219360,14:00,Maths: Year 7: 7a/MaG
2023-11-22,29957094,08:40,Year 7: 7VP
2023-11-22,31340489,09:00,Geography: Year 7: 7a/GeR
2023-11-22,31222304,09:55,English Comb: Year 7: 7a/EnG
2023-11-22,31343429,11:10,Religious Ed: Year 7: 7a/RER
2023-11-22,31344521,12:05,History: Year 7: 7a/HiR
2023-11-22,29974612,13:30,Year 7: 7VP
2023-11-22,31215864,14:00,Science: Year 7: 7a/ScG
2023-11-23,29981343,08:40,Year 7: 7VP
2023-11-23,31217405,09:00,Science: Year 7: 7a/ScG
2023-11-23,31339089,09:55,Music: Year 7: 7a/MuR
2023-11-23,31340601,11:10,History: Year 7: 7a/HiR
2023-11-23,31342365,12:05,Art and Design: Year 7: 7a/ArR
2023-11-23,30069097,13:30,Year 7: 7VP
2023-11-23,31225294,14:00,English Comb: Year 7: 7a/EnG
2023-11-24,30078545,08:40,Year 7: 7VP
2023-11-24,31335113,09:00,Religious Ed: Year 7: 7a/RER
2023-11-24,31337465,09:55,History: Year 7: 7a/HiR
2023-11-24,31218003,11:10,Maths: Year 7: 7a/MaG
2023-11-24,31221108,12:05,Design Tech: Year 7: 7a/DTG
2023-11-24,30073341,13:30,Year 7: 7VP
2023-11-24,31340293,14:00,Geography: Year 7: 7a/GeR
2023-11-27,29938006,08:40,Year 7: 7VP
2023-11-27,31222971,09:00,English Comb: Year 7: 7a/EnG
2023-11-27,31225961,09:55,Spanish: Year 7: 7a/SpG
2023-11-27,31336457,11:10,Art and Design: Year 7: 7a/ArR
2023-11-27,31338277,12:05,Computer Science: Year 7: 7a/CsR
2023-11-27,29951650,13:30,Year 7: 7VP
2023-11-27,31219705,14:00,Maths: Year 7: 7a/MaG
2023-11-28,29989730,08:40,Year 7: 7VP
2023-11-28,29866479,09:00,Year 7: 7VP
2023-11-28,31222005,09:55,Maths: Year 7: 7a/MaG
2023-11-28,31224397,11:10,Science: Year 7: 7a/ScG
2023-11-28,31343989,12:05,Music: Year 7: 7a/MuR
2023-11-28,29977206,13:30,Year 7: 7VP
2023-11-28,31215197,14:00,English Comb: Year 7: 7a/EnG
2023-11-29,29968904,08:40,Year 7: 7VP
2023-11-29,31217198,09:00,Maths: Year 7: 7a/MaG
2023-11-29,31220395,09:55,Spanish: Year 7: 7a/SpG
2023-11-29,31339649,11:10,History: Year 7: 7a/HiR
2023-11-29,31341833,12:05,Geography: Year 7: 7a/GeR
2023-11-29,29985834,13:30,Year 7: 7VP
2023-11-29,31223776,14:00,Science: Year 7: 7a/ScG
2023-11-30,29992437,08:40,Year 7: 7VP
2023-11-30,31334917,09:00,Religious Ed: Year 7: 7a/RER
2023-11-30,31216163,09:55,Maths: Year 7: 7a/MaG
2023-11-30,31218900,11:10,English Comb: Year 7: 7a/EnG
2023-11-30,31220372,12:05,Science: Year 7: 7a/ScG
2023-11-30,30081259,13:30,Year 7: 7VP
2023-11-30,31320778,14:00,PE Core: Year 7: 7a/PEB
2023-12-01,30090358,08:40,Year 7: 7VP
2023-12-01,31342925,09:00,Geography: Year 7: 7a/GeR
2023-12-01,31224466,09:55,English Comb: Year 7: 7a/EnG
2023-12-01,31335953,11:10,Religious Ed: Year 7: 7a/RER
2023-12-01,31216761,12:05,Science: Year 7: 7a/ScG
2023-12-01,30084264,13:30,Year 7: 7VP
2023-12-01,31320418,14:00,PE Core: Year 7: 7a/PEB
2023-12-04,29951195,08:40,Year 7: 7VP
2023-12-04,31334357,09:00,Drama: Year 7: 7a/DrR
2023-12-04,31336933,09:55,Computer Science: Year 7: 7a/CsR
2023-12-04,31218417,11:10,Spanish: Year 7: 7a/SpG
2023-12-04,31221568,12:05,Maths: Year 7: 7a/MaG
2023-12-04,29965877,13:30,Year 7: 7VP
2023-12-04,31223040,14:00,Design Tech: Year 7: 7a/DTG
2023-12-05,30074117,08:40,Year 7: 7VP
2023-12-05,31224098,09:00,Spanish: Year 7: 7a/SpG
2023-12-05,31321178,09:55,PE Core: Year 7: 7a/PEB
2023-12-05,31215059,11:10,English Comb: Year 7: 7a/EnG
2023-12-05,31338137,12:05,Religious Ed: Year 7: 7a/RER
2023-12-05,29988208,13:30,Year 7: 7VP
2023-12-05,31219406,14:00,Maths: Year 7: 7a/MaG
2023-12-06,29981461,08:40,Year 7: 7VP
2023-12-06,31340573,09:00,Geography: Year 7: 7a/GeR
2023-12-06,31222350,09:55,English Comb: Year 7: 7a/EnG
2023-12-06,31343457,11:10,Religious Ed: Year 7: 7a/RER
2023-12-06,31344549,12:05,History: Year 7: 7a/HiR
2023-12-06,30070548,13:30,Year 7: 7VP
2023-12-06,31215887,14:00,Science: Year 7: 7a/ScG
2023-12-07,30075307,08:40,Year 7: 7VP
2023-12-07,31217451,09:00,Science: Year 7: 7a/ScG
2023-12-07,31339117,09:55,Music: Year 7: 7a/MuR
2023-12-07,31340685,11:10,History: Year 7: 7a/HiR
2023-12-07,31342393,12:05,Art and Design: Year 7: 7a/ArR
2023-12-07,30093728,13:30,Year 7: 7VP
2023-12-07,31225386,14:00,English Comb: Year 7: 7a/EnG
2023-12-08,30103251,08:40,Year 7: 7VP
2023-12-08,31335169,09:00,Religious Ed: Year 7: 7a/RER
2023-12-08,31337493,09:55,History: Year 7: 7a/HiR
2023-12-08,31218049,11:10,Maths: Year 7: 7a/MaG
2023-12-08,31221131,12:05,Design Tech: Year 7: 7a/DTG
2023-12-08,30093187,13:30,Year 7: 7VP
2023-12-08,31340377,14:00,Geography: Year 7: 7a/GeR
2023-12-11,29961654,08:40,Year 7: 7VP
2023-12-11,31223017,09:00,English Comb: Year 7: 7a/EnG
2023-12-11,31225984,09:55,Spanish: Year 7: 7a/SpG
